id,date,pn,latitude,longtitude,ts_url
2903211,2021-07-14 05:45:49,142,42.349,157.480,http://argo.nims.go.kr/data/float_text_view1.php?sel=1&wmo_id=2903211&cycle_number=142&dir_list=jma&mode=R
2903212,2021-07-11 23:42:24,130,23.315,162.621,http://argo.nims.go.kr/data/float_text_view1.php?sel=1&wmo_id=2903212&cycle_number=130&dir_list=jma&mode=R
2903327,2021-07-17 06:27:15,193,45.364,163.561,http://argo.nims.go.kr/data/float_text_view1.php?sel=1&wmo_id=2903327&cycle_number=193&dir_list=jma&mode=R
2903339,2021-07-24 06:00:54,184,21.938,136.238,http://argo.nims.go.kr/data/float_text_view1.php?sel=1&wmo_id=2903339&cycle_number=184&dir_list=jma&mode=R
2903340,2021-07-24 06:49:08,179,38.786,170.140,http://argo.nims.go.kr/data/float_text_view1.php?sel=1&wmo_id=2903340&cycle_number=179&dir_list=jma&mode=R
2903342,2021-07-22 06:40:47,174,31.077,157.230,http://argo.nims.go.kr/data/float_text_view1.php?sel=1&wmo_id=2903342&cycle_number=174&dir_list=jma&mode=R
2903343,2021-07-23 06:43:07,174,31.85,140.095,http://argo.nims.go.kr/data/float_text_view1.php?sel=1&wmo_id=2903343&cycle_number=174&dir_list=jma&mode=R
2903344,2021-07-24 07:02:26,174,31.229,143.581,http://argo.nims.go.kr/data/float_text_view1.php?sel=1&wmo_id=2903344&cycle_number=174&dir_list=jma&mode=R
2903345,2021-07-24 06:47:36,173,30.54,160.139,http://argo.nims.go.kr/data/float_text_view1.php?sel=1&wmo_id=2903345&cycle_number=173&dir_list=jma&mode=R
2903346,2021-07-15 10:38:47,126,26.059,140.754,http://argo.nims.go.kr/data/float_text_view1.php?sel=1&wmo_id=2903346&cycle_number=126&dir_list=jma&mode=R
2903348,2021-07-15 12:57:21,116,37.206,151.489,http://argo.nims.go.kr/data/float_text_view1.php?sel=1&wmo_id=2903348&cycle_number=116&dir_list=jma&mode=R
2903349,2021-07-18 09:52:59,116,39.669,146.373,http://argo.nims.go.kr/data/float_text_view1.php?sel=1&wmo_id=2903349&cycle_number=116&dir_list=jma&mode=R
2903355,2021-07-21 22:31:03,102,34.055,165.315,http://argo.nims.go.kr/data/float_text_view1.php?sel=1&wmo_id=2903355&cycle_number=102&dir_list=jma&mode=R
2903356,2021-07-20 17:35:46,103,31.808,155.644,http://argo.nims.go.kr/data/float_text_view1.php?sel=1&wmo_id=2903356&cycle_number=103&dir_list=jma&mode=R
2903358,2021-07-13 20:44:50,91,31.927,149.938,http://argo.nims.go.kr/data/float_text_view1.php?sel=1&wmo_id=2903358&cycle_number=091&dir_list=jma&mode=R
2903360,2021-07-14 14:12:38,87,35.677,142.575,http://argo.nims.go.kr/data/float_text_view1.php?sel=1&wmo_id=2903360&cycle_number=087&dir_list=jma&mode=R
2903385,2021-07-11 09:42:15,112,41.368,163.224,http://argo.nims.go.kr/data/float_text_view1.php?sel=1&wmo_id=2903385&cycle_number=112&dir_list=jma&mode=R
2903388,2021-07-23 13:35:58,104,28.784,140.774,http://argo.nims.go.kr/data/float_text_view1.php?sel=1&wmo_id=2903388&cycle_number=104&dir_list=jma&mode=R
2903393,2021-07-13 14:35:27,78,44.939,167.216,http://argo.nims.go.kr/data/float_text_view1.php?sel=1&wmo_id=2903393&cycle_number=078&dir_list=jma&mode=R
2903394,2021-07-16 12:46:10,167,36.712,164.432,http://argo.nims.go.kr/data/float_text_view1.php?sel=1&wmo_id=2903394&cycle_number=167&dir_list=jma&mode=R
2903397,2021-07-14 08:49:08,33,26.027,161.174,http://argo.nims.go.kr/data/float_text_view1.php?sel=1&wmo_id=2903397&cycle_number=033&dir_list=jma&mode=R
2903398,2021-07-17 19:28:00,33,21.673,153.837,http://argo.nims.go.kr/data/float_text_view1.php?sel=1&wmo_id=2903398&cycle_number=033&dir_list=jma&mode=R
2903399,2021-07-15 23:59:55,28,32.762,140.937,http://argo.nims.go.kr/data/float_text_view1.php?sel=1&wmo_id=2903399&cycle_number=028&dir_list=jma&mode=R
